statename,districtname,crop,cropyear,season,area,production,statenorm,districtnorm,yieldcalc,lat,lon,Rainfall_sum_x,Tavg_mean_x,Tmax_mean_x,Tmin_mean_x,ET0_sum_x,GDD_sum_x,Rainfall_sum_y,Tavg_mean_y,Tmax_mean_y,Tmin_mean_y,ET0_sum_y,GDD_sum_y
Andhra Pradesh,ANANTAPUR,Banana,2010,Whole Year,4416.0,223825.0,andhra pradesh,anantapur,50.685009057971016,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Coriander,2010,Whole Year,5323.0,3604.0,andhra pradesh,anantapur,0.6770618072515499,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Potato,2010,Whole Year,21.0,236.0,andhra pradesh,anantapur,11.238095238095237,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Sugarcane,2010,Whole Year,235.0,20981.0,andhra pradesh,anantapur,89.28085106382979,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Sunflower,2010,Whole Year,17615.0,14072.0,andhra pradesh,anantapur,0.7988646040306557,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Sweet potato,2010,Whole Year,4.0,51.0,andhra pradesh,anantapur,12.75,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Tobacco,2010,Whole Year,174.0,282.0,andhra pradesh,anantapur,1.6206896551724137,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Turmeric,2010,Whole Year,13.0,102.0,andhra pradesh,anantapur,7.846153846153846,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,CHITTOOR,Arhar/Tur,2010,Kharif,10943.0,1182.0,andhra pradesh,chittoor,0.10801425568856804,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Bajra,2010,Kharif,3081.0,5882.0,andhra pradesh,chittoor,1.9091204154495294,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Castor seed,2010,Kharif,180.0,158.0,andhra pradesh,chittoor,0.8777777777777778,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Cotton(lint),2010,Kharif,235.0,98.0,andhra pradesh,chittoor,0.41702127659574467,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Groundnut,2010,Kharif,148596.0,159741.0,andhra pradesh,chittoor,1.0750020188968747,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Horse-gram,2010,Kharif,4010.0,1941.0,andhra pradesh,chittoor,0.48403990024937654,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Jowar,2010,Kharif,1357.0,852.0,andhra pradesh,chittoor,0.627855563743552,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Maize,2010,Kharif,970.0,4969.0,andhra pradesh,chittoor,5.122680412371134,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Mesta,2010,Kharif,2.0,18.0,andhra pradesh,chittoor,9.0,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Moong(Green Gram),2010,Kharif,845.0,268.0,andhra pradesh,chittoor,0.31715976331360946,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Onion,2010,Kharif,178.0,3535.0,andhra pradesh,chittoor,19.859550561797754,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Other Kharif pulses,2010,Kharif,1912.0,541.0,andhra pradesh,chittoor,0.28294979079497906,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Ragi,2010,Kharif,6849.0,9876.0,andhra pradesh,chittoor,1.4419623302671922,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Rice,2010,Kharif,18019.0,53639.0,andhra pradesh,chittoor,2.9768022642765968,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Sesamum,2010,Kharif,203.0,34.0,andhra pradesh,chittoor,0.16748768472906403,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Small millets,2010,Kharif,572.0,165.0,andhra pradesh,chittoor,0.28846153846153844,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Urad,2010,Kharif,608.0,257.0,andhra pradesh,chittoor,0.42269736842105265,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Arhar/Tur,2010,Rabi,10.0,1.0,andhra pradesh,chittoor,0.1,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Bajra,2010,Rabi,15.0,29.0,andhra pradesh,chittoor,1.9333333333333333,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Dry chillies,2010,Rabi,2034.0,4153.0,andhra pradesh,chittoor,2.0417895771878074,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Groundnut,2010,Rabi,13361.0,31332.0,andhra pradesh,chittoor,2.3450340543372503,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
Andhra Pradesh,CHITTOOR,Horse-gram,2010,Rabi,1774.0,1151.0,andhra pradesh,chittoor,0.6488162344983089,13.2026484,79.0032253,,,,,,,0.0,25.409205479452055,31.44668493150685,20.67967123287671,433.987898545401,5863.060000000004
