yieldcalc,production,area
2.964,2964.0,1000.0
6.107143,1368.0,224.0
0.505988,169.0,334.0
2.2704751,8982.0,3956.0
1.2388451,1888.0,1524.0
0.47058824,8.0,17.0
1.44,72.0,50.0
5.892857,11550.0,1960.0
0.2513661,46.0,183.0
2.1815598,558800.0,256147.0
0.1627907,7.0,43.0
0.4216028,363.0,861.0
0.5058824,129.0,255.0
2.8009827,4560.0,1628.0
2.3090158,10065.0,4359.0
0.411985,110.0,267.0
6.930996,296106.0,42722.0
0.5729042,1442.0,2517.0
4.648998,931515.0,200369.0
0.22816594,209.0,916.0
0.26400915,1616.0,6121.0
0.45,9.0,20.0
25.292994,212967.0,8420.0
0.24380855,5700.0,23379.0
9.5,19.0,2.0
9.5,19.0,2.0
95.87912,2546933.0,26564.0
1.2427325,855.0,688.0
6.5903616,547.0,83.0
1.8587404,52357.0,28168.0
6.1059604,1844.0,302.0
1.3,4485.0,3450.0
0.9194733,3631.0,3949.0
0.8,556.0,695.0
1.5,15.0,10.0
1.5,30.0,20.0
8.0,920.0,115.0
1.0,137.0,137.0
8.5,935.0,110.0
2.5,50.0,20.0
1.3,1118.0,860.0
1.9055816,18265.0,9585.0
0.9799223,1513.0,1544.0
2.05,574.0,280.0
1.52,1064.0,700.0
7.2,4032.0,560.0
0.9963108,4591.0,4608.0
6.330357,709.0,112.0
13.008404,7740.0,595.0
6.5,585.0,90.0
1.3497143,2362.0,1750.0
0.8,1268.0,1585.0
1.0,750.0,750.0
1.9,76.0,40.0
4.0,120.0,30.0
0.9,135.0,150.0
5.5,550.0,100.0
1.312749,3295.0,2510.0
0.86827147,7178.0,8267.0
1.0961539,570.0,520.0
2.096774,65.0,31.0
1.6,136.0,85.0
4.0666666,244.0,60.0
1.1908396,1248.0,1048.0
6.5670104,637.0,97.0
2.5602837,8303.0,3243.0
1.5923234,24103.0,15137.0
1.233931,2822.0,2287.0
1.9832714,1067.0,538.0
1.1,209.0,190.0
9.761246,8463.0,867.0
0.9498943,4493.0,4730.0
8.227763,6105.0,742.0
39.31405,9514.0,242.0
2.0,386.0,193.0
1.4418182,793.0,550.0
1.3175,527.0,400.0
1.35,729.0,540.0
0.3,3.0,10.0
6.95,139.0,20.0
2.0714285,145.0,70.0
0.68,17.0,25.0
1.2162651,12114.0,9960.0
1.7387164,20263.0,11654.0
0.8367347,82.0,98.0
1.6505263,784.0,475.0
1.7333333,234.0,135.0
8.960406,8826.0,985.0
0.7482697,7892.0,10547.0
9.400273,6881.0,732.0
6.516129,202.0,31.0
5.0,600.0,120.0
1.3000634,10251.0,7885.0
1.2307693,13760.0,11180.0
0.7003413,1026.0,1465.0
1.5018868,398.0,265.0
1.0921053,83.0,76.0
7.5,21600.0,2880.0
0.9,4635.0,5150.0
8.0,2480.0,310.0
10.0,1010.0,101.0
7.0,644.0,92.0
1.9696,1231.0,625.0
1.3065604,10655.0,8155.0
0.94244605,1441.0,1529.0
1.6888889,228.0,135.0
5.6489363,1062.0,188.0
1.1,979.0,890.0
9.012779,2821.0,313.0
30.1,2709.0,90.0
1.8998641,4193.0,2207.0
1.6166465,14684.0,9083.0
