statename,districtname,crop,cropyear,season,statenorm,districtnorm
Andhra Pradesh,EAST GODAVARI,Sesamum,2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Urad,2010,Rabi,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Banana,2010,Whole Year,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Cashewnut,2010,Whole Year,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Sugarcane,2010,Whole Year,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Sunflower,2010,Whole Year,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Sweet potato,2010,Whole Year,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Tapioca,2010,Whole Year,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Tobacco,2010,Whole Year,andhra pradesh,east godavari
Andhra Pradesh,EAST GODAVARI,Turmeric,2010,Whole Year,andhra pradesh,east godavari
Andhra Pradesh,GUNTUR,Arhar/Tur,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Bajra,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Castor seed,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Cotton(lint),2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Dry chillies,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Groundnut,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Jowar,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Maize,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Mesta,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Moong(Green Gram),2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Onion,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Rice,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Sesamum,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Soyabean,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Urad,2010,Kharif,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Arhar/Tur,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Bajra,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Dry chillies,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Gram,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Groundnut,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Jowar,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Linseed,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Maize,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Moong(Green Gram),2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Onion,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Rapeseed &Mustard,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Rice,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Sesamum,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Urad,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Wheat,2010,Rabi,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Banana,2010,Whole Year,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Cashewnut,2010,Whole Year,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Coriander,2010,Whole Year,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Sugarcane,2010,Whole Year,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Sunflower,2010,Whole Year,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Sweet potato,2010,Whole Year,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Tobacco,2010,Whole Year,andhra pradesh,guntur
Andhra Pradesh,GUNTUR,Turmeric,2010,Whole Year,andhra pradesh,guntur
Andhra Pradesh,KADAPA,Arhar/Tur,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Bajra,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Castor seed,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Cotton(lint),2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Dry chillies,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Groundnut,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Horse-gram,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Jowar,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Maize,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Moong(Green Gram),2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Onion,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Other Kharif pulses,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Ragi,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Rice,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Sesamum,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Small millets,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Soyabean,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Urad,2010,Kharif,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Arhar/Tur,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Bajra,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Dry chillies,2010,Rabi,andhra pradesh,kadapa
